location,category_name,sub_category_url,sub_category_name,all_categories,Title,Number of Watchers,Price,Condtion,Page_url,item_number,'item_number',Start date of listing,End date of listing
"Osaka, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=12&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",GUCCI GG 2409/N/S 7NR Olive Vintage Sunglasses Authentic!  Super Rare!,6,US $220.00,not specified,https://www.ebay.com/itm/176467391839?itmmeta=01J41AHQJRB2FYHY7SM4X4PDVP&hash=item291646b55f:g:o68AAOSwGKNl8uMr,1.76467E+11,'176467391839',,
"Shizuoka-City, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=12&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Hand Fans",Folding Fan Japan DAISO 4set Japanese style design,1,US $15.00,not specified,https://www.ebay.com/itm/364992821279?itmmeta=01J41AHQJRED24XVNRXM6E4EXA&hash=item54fb44781f:g:hUwAAOSw25BmiLlp,3.64993E+11,'364992821279',,
"Yokohama,Kanagawa, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=12&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Women > Women's Clothing > Dresses > Clothing, Shoes & Accessories > Specialty > Vintage > Women's Vintage Clothing > Dresses",CHANEL Vintage 00T CC Mark Logo One-piece #38 Dress Multicolor Nylon Zip RankAB,2,US $711.00,Pre-owned,https://www.ebay.com/itm/166855921297?itmmeta=01J41AHQJQJ2JTG70BQEW080CG&hash=item26d9634e91:g:YyYAAOSw8ChmiOSv,1.66856E+11,'166855921297',,
"Fukuoka city, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=12&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Bags, Handbags & Cases",CELINE Clutch Bag Macadam Brown Auth,2,US $220.00,not specified,https://www.ebay.com/itm/387171576161?itmmeta=01J41AHQJQSNRSAE5Q4N32HCW2&hash=item5a25396961:g:zU0AAOSwA2VmdEa7,3.87172E+11,'387171576161',,
"JP, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=12&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",JEAN PAUL GAULTIER mousetrap design Temple sunglas,5,US $515.00,not specified,https://www.ebay.com/itm/204874254810?itmmeta=01J41AHQJQVQPD75Y8AQNJVYBR&hash=item2fb37509da:g:yfkAAOSwxuhmibhb,2.04874E+11,'204874254810',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=12&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",Used Porsche Design Carrera teardrop sunglasses,1,US $124.00,not specified,https://www.ebay.com/itm/256565511671?itmmeta=01J41AHQJQHG6Y3QPH0R3HBHXR&hash=item3bbc7f05f7:g:U0IAAOSwL2Vmikni,2.56566E+11,'256565511671',,
"Fujimi-shi.Saitama, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=12&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Children's Vintage Clothing > Jeans",AVIREX ? / Flight Jacket / L / Leather / CML / USA /,1,US $130.23,not specified,https://www.ebay.com/itm/405085221616?itmmeta=01J41AHQJNRCNBS1ZV1B9V0P5R&hash=item5e50f5f2f0:g:q9wAAOSwVxJmi1dR,4.05085E+11,'405085221616',,
"Okayama, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Eyeglasses",OLIVER PEOPLES OV5256 MV Sir O'malley Eyeglasses 46?21-145,1,US $237.97,not specified,https://www.ebay.com/itm/285969786548?itmmeta=01J41AHK4THJ2HWPVG1350EKDA&hash=item429520a6b4:g:dpMAAOSwCG5mm0-d,2.8597E+11,'285969786548',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",Giorgio Armani Vintage Tortoise Gatsby Men's Sunglass 101 713 Crystal Lens 48mm,1,US $85.00,not specified,https://www.ebay.com/itm/176482037332?itmmeta=01J41AHK4TC226HE766V83FYGT&hash=item2917262e54:g:UqQAAOSwXtJmnG7p,1.76482E+11,'176482037332',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Men's Vintage Clothing > Outerwear Coats & Jackets",40s 50s Vintage Souvenir Jacket Sukajan Black Ska Shirt Old Clothes,1,US $868.68,not specified,https://www.ebay.com/itm/204899255229?itmmeta=01J41AHK4TXG9H987GS8ZVKEV7&hash=item2fb4f283bd:g:5egAAOSwhpNmnKDg,2.04899E+11,'204899255229',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Sunglasses",Gianni Versace Vintage Sunglasses Mod.T24/C (852RH) Stones Men's Shade Biggie,3,US $120.00,not specified,https://www.ebay.com/itm/176482257652?itmmeta=01J41AHK4TRD9DHRDDP7FBCB22&hash=item2917298af4:g:ZzwAAOSwWTRmnKct,1.76482E+11,'176482257652',,
"Japan, Japan",Clothing-Shoes-Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?_sop=10&mag=1&rt=nc&LH_Time=1&_ftrt=903&_ftrv=590&_salic=104&LH_LocatedIn=1,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473?LH_LocatedIn=1&LH_Time=1&mag=1&rt=nc&_ftrt=903&_ftrv=590&_pgn=11&_salic=104&_sop=10,"Clothing, Shoes & Accessories > Specialty > Vintage > Vintage Accessories > Men's Hats",[Borsalino] Top model Montecristi Extra Fine Panama hat wide brim 61 v5254,3,"US $1,385.46",not specified,https://www.ebay.com/itm/156314461815?itmmeta=01J41AHK4T2XZ4QKR6ZPCTMW1K&hash=item2465116677:g:W0YAAOSwqCZmnNqM,1.56314E+11,'156314461815',,
